id,surname,forename,initials,age_text,honours,date_of_death,date_of_death2,rank,regiment,secondary_regiment,unitshipsquadron,country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation,
101840,TATE,,C,,,09/07/1916,,Private,York and Lancaster Regiment,,1st/5th Bn.,France,'5183',ETRETAT CHURCHYARD,II. D. 16.,
104884,TATE,,G E,,,17/09/1917,,Gunner,Royal Garrison Artillery,,25th Siege Bty.,Belgium,'83211',VOORMEZEELE ENCLOSURES NO.1 AND NO.2,I. J. 21.,
1155908,TATE,LEONARD CHARLES,L C,19,,04/05/1947,,Ordinary Seaman,Royal Navy,,H.M.L.C.T. (E) 413,Israel and Palestine (including Gaza),'P/JX 799040',KHAYAT BEACH WAR CEMETERY,D. C. 18.,"Son of Charles Raymond and Elsie Annie Tate, of New Southgate, Middlesex."
115920,TATE,ISOBEL ADDY,I A,,,28/01/1917,,Doctor,Friend's War Victims' Relief Committee,,Serbian Relief Fund,Malta,'',PIETA MILITARY CEMETERY,XXIX. 3.,"M.D., D.P.H."
117554,TATE,DAVID,D,26,,24/06/1916,,Corporal,Royal Irish Rifles,,"A Coy., 11th Bn.",France,'19954',FORCEVILLE COMMUNAL CEMETERY AND EXTENSION,Plot 1. Row E. Grave 12.,"Son of David and Charlotte Tate, of Lisburn."
117555,TATE,,J P K,20,,07/02/1916,,Rifleman,Royal Irish Rifles,,B Coy 13th Bn.,France,'19952',FORCEVILLE COMMUNAL CEMETERY AND EXTENSION,On South boundary.,"Son of John and Sarah J. Tate, of 12, Frances Street and North Street, Newtownards, Co. Down, Ireland."
118389,TATE,JOSEPH,J,22,,30/06/1916,,Private,West Yorkshire Regiment (Prince of Wales's Own),,"""B"" Coy. 18th Bn.",France,'89',BERTRANCOURT MILITARY CEMETERY,Plot 1. Row E. Grave 11.,"Son of Mary Ann, and the late Harry Tate, of Bradford, Yorks."
138828,TATE,,G,23,,28/05/1917,,Private,Northumberland Fusiliers,,10th Bn.,Belgium,'15737',VLAMERTINGHE MILITARY CEMETERY,VII. C. 4.,"Son of John and Margaret Tate, of Bebside Colliery, Northumberland."
143327,TATE,,C,25,,25/07/1917,,Gunner,Royal Garrison Artillery,,2nd/1st (North Midland) Heavy Bty.,Belgium,'313450',VLAMERTINGHE NEW MILITARY CEMETERY,V. A. 13.,Son of the late William M. and Ada Tate.
143328,TATE,FRANK PERCY,F P,32,,31/07/1917,,Gunner,Royal Garrison Artillery,,198th Siege Bty.,Belgium,'94930',VLAMERTINGHE NEW MILITARY CEMETERY,II. H. 3.,"Husband of Rosetta Tate (District Nurse), of Rose Cottage, Rous Lench, Evesham, Worcestershire."
